,Values,Year,Day_of_month,Day_of_week,Prev_week,ID,date
71,0.09892912621512373,2018,20,3,0.06861157777186744,Energy,20/12/2018
72,0.09404466574528536,2018,21,4,0.08122948236382044,Energy,21/12/2018
73,0.09347145147411995,2018,22,5,0.11838110787783718,Energy,22/12/2018
74,0.0546487980579613,2018,23,6,0.10297718599197303,Energy,23/12/2018
75,0.014299012405269984,2018,24,0,0.07885851565478008,Energy,24/12/2018
76,0.025035864510321915,2018,25,1,0.08432791193129852,Energy,25/12/2018
77,0.001098919570494683,2018,26,2,0.09396185669372237,Energy,26/12/2018
78,0.012663989659886354,2018,27,3,0.09892912621512373,Energy,27/12/2018
79,0.0247822359020482,2018,28,4,0.09404466574528536,Energy,28/12/2018
80,0.02121851641448691,2018,29,5,0.09347145147411995,Energy,29/12/2018
81,-0.0056015695677471555,2018,30,6,0.0546487980579613,Energy,30/12/2018
82,-0.04090813805788951,2018,31,0,0.014299012405269984,Energy,31/12/2018
83,-0.034956630095853924,2019,1,1,0.025035864510321915,Energy,1/1/2019
84,-0.021946990177381664,2019,2,2,0.001098919570494683,Energy,2/1/2019
85,-0.003770647136927874,2019,3,3,0.012663989659886354,Energy,3/1/2019
86,0.02470417874690245,2019,4,4,0.0247822359020482,Energy,4/1/2019
87,0.04472093243047803,2019,5,5,0.02121851641448691,Energy,5/1/2019
88,0.02375036522133467,2019,6,6,-0.0056015695677471555,Energy,6/1/2019
89,-0.004009918630614617,2019,7,0,-0.04090813805788951,Energy,7/1/2019
90,0.023374880397311948,2019,8,1,-0.034956630095853924,Energy,8/1/2019
91,0.05165222087851795,2019,9,2,-0.021946990177381664,Energy,9/1/2019
92,0.08158086333486159,2019,10,3,-0.003770647136927874,Energy,10/1/2019
93,0.09911466842278793,2019,11,4,0.02470417874690245,Energy,11/1/2019
94,0.11921897070959009,2019,12,5,0.04472093243047803,Energy,12/1/2019
95,0.11094321391478701,2019,13,6,0.02375036522133467,Energy,13/1/2019
96,0.08418845525161567,2019,14,0,-0.004009918630614617,Energy,14/1/2019
97,0.0981008226953275,2019,15,1,0.023374880397311948,Energy,15/1/2019
98,0.12172570634096713,2019,16,2,0.05165222087851795,Energy,16/1/2019
99,0.1383768160217662,2019,17,3,0.08158086333486159,Energy,17/1/2019
100,0.1555420695890639,2019,18,4,0.09911466842278793,Energy,18/1/2019
101,0.1723618996841214,2019,19,5,0.11921897070959009,Energy,19/1/2019
102,0.14602565843128135,2019,20,6,0.11094321391478701,Energy,20/1/2019
103,0.12619620658468556,2019,21,0,0.08418845525161567,Energy,21/1/2019
104,0.15532880756998058,2019,22,1,0.0981008226953275,Energy,22/1/2019
105,0.1740955369353805,2019,23,2,0.12172570634096713,Energy,23/1/2019
106,0.1779754147551591,2019,24,3,0.1383768160217662,Energy,24/1/2019
107,0.17106297817198612,2019,25,4,0.1555420695890639,Energy,25/1/2019
108,0.044827732582277235,2019,26,5,0.1723618996841214,Energy,26/1/2019
109,0.0014130961625826721,2019,27,6,0.14602565843128135,Energy,27/1/2019
110,-0.050549083673037565,2019,28,0,0.12619620658468556,Energy,28/1/2019
111,-0.032096995828185815,2019,29,1,0.15532880756998058,Energy,29/1/2019
112,-0.0024117767976528093,2019,30,2,0.1740955369353805,Energy,30/1/2019
113,-0.0025555805450037106,2019,31,3,0.1779754147551591,Energy,31/1/2019
114,0.024430657190896543,2019,1,4,0.17106297817198612,Energy,1/2/2019
115,0.039038428729314845,2019,2,5,0.044827732582277235,Energy,2/2/2019
116,-0.010613946063397606,2019,3,6,0.0014130961625826721,Energy,3/2/2019
117,-0.05265852572303631,2019,4,0,-0.050549083673037565,Energy,4/2/2019
118,-0.00343013494865696,2019,5,1,-0.032096995828185815,Energy,5/2/2019
119,0.053589902641780096,2019,6,2,-0.0024117767976528093,Energy,6/2/2019
120,0.07608617178780053,2019,7,3,-0.0025555805450037106,Energy,7/2/2019
121,0.07185264346294096,2019,8,4,0.024430657190896543,Energy,8/2/2019
122,0.05631121735731126,2019,9,5,0.039038428729314845,Energy,9/2/2019
123,-0.0066189065470507735,2019,10,6,-0.010613946063397606,Energy,10/2/2019
124,-0.06918065487133562,2019,11,0,-0.05265852572303631,Energy,11/2/2019
125,-0.06541016558039825,2019,12,1,-0.00343013494865696,Energy,12/2/2019
126,-0.04105964329552547,2019,13,2,0.053589902641780096,Energy,13/2/2019
127,-0.018780896560764315,2019,14,3,0.07608617178780053,Energy,14/2/2019
128,-0.03129570057634812,2019,15,4,0.07185264346294096,Energy,15/2/2019
129,-0.017700687538692694,2019,16,5,0.05631121735731126,Energy,16/2/2019
130,-0.07839162608442463,2019,17,6,-0.0066189065470507735,Energy,17/2/2019
131,-0.1384200164663958,2019,18,0,-0.06918065487133562,Energy,18/2/2019
132,-0.12602771185509454,2019,19,1,-0.06541016558039825,Energy,19/2/2019
